‎𞱱 Indic Siyaq Number One
‎𞱲 Indic Siyaq Number Two
‎𞱳 Indic Siyaq Number Three
‎𞱴 Indic Siyaq Number Four
‎𞱵 Indic Siyaq Number Five
‎𞱶 Indic Siyaq Number Six
‎𞱷 Indic Siyaq Number Seven
‎𞱸 Indic Siyaq Number Eight
‎𞱹 Indic Siyaq Number Nine
‎𞱺 Indic Siyaq Number Ten
‎𞱻 Indic Siyaq Number Twenty
‎𞱼 Indic Siyaq Number Thirty
‎𞱽 Indic Siyaq Number Forty
‎𞱾 Indic Siyaq Number Fifty
‎𞱿 Indic Siyaq Number Sixty
‎𞲀 Indic Siyaq Number Seventy
‎𞲁 Indic Siyaq Number Eighty
‎𞲂 Indic Siyaq Number Ninety
‎𞲃 Indic Siyaq Number One Hundred
‎𞲄 Indic Siyaq Number Two Hundred
‎𞲅 Indic Siyaq Number Three Hundred
‎𞲆 Indic Siyaq Number Four Hundred
‎𞲇 Indic Siyaq Number Five Hundred
‎𞲈 Indic Siyaq Number Six Hundred
‎𞲉 Indic Siyaq Number Seven Hundred
‎𞲊 Indic Siyaq Number Eight Hundred
‎𞲋 Indic Siyaq Number Nine Hundred
‎𞲌 Indic Siyaq Number One Thousand
‎𞲍 Indic Siyaq Number Two Thousand
‎𞲎 Indic Siyaq Number Three Thousand
‎𞲏 Indic Siyaq Number Four Thousand
‎𞲐 Indic Siyaq Number Five Thousand
‎𞲑 Indic Siyaq Number Six Thousand
‎𞲒 Indic Siyaq Number Seven Thousand
‎𞲓 Indic Siyaq Number Eight Thousand
‎𞲔 Indic Siyaq Number Nine Thousand
‎𞲕 Indic Siyaq Number Ten Thousand
‎𞲖 Indic Siyaq Number Twenty Thousand
‎𞲗 Indic Siyaq Number Thirty Thousand
‎𞲘 Indic Siyaq Number Forty Thousand
‎𞲙 Indic Siyaq Number Fifty Thousand
‎𞲚 Indic Siyaq Number Sixty Thousand
‎𞲛 Indic Siyaq Number Seventy Thousand
‎𞲜 Indic Siyaq Number Eighty Thousand
‎𞲝 Indic Siyaq Number Ninety Thousand
‎𞲞 Indic Siyaq Number Lakh
‎𞲟 Indic Siyaq Number Lakhan
‎𞲠 Indic Siyaq Lakh Mark
‎𞲡 Indic Siyaq Number Karor
‎𞲢 Indic Siyaq Number Karoran
‎𞲣 Indic Siyaq Number Prefixed One
‎𞲤 Indic Siyaq Number Prefixed Two
‎𞲥 Indic Siyaq Number Prefixed Three
‎𞲦 Indic Siyaq Number Prefixed Four
‎𞲧 Indic Siyaq Number Prefixed Five
‎𞲨 Indic Siyaq Number Prefixed Six
‎𞲩 Indic Siyaq Number Prefixed Seven
‎𞲪 Indic Siyaq Number Prefixed Eight
‎𞲫 Indic Siyaq Number Prefixed Nine
‎𞲬 Indic Siyaq Placeholder
‎𞲭 Indic Siyaq Fraction One Quarter
‎𞲮 Indic Siyaq Fraction One Half
‎𞲯 Indic Siyaq Fraction Three Quarters
‎𞲰 Indic Siyaq Rupee Mark
‎𞲱 Indic Siyaq Number Alternate One
‎𞲲 Indic Siyaq Number Alternate Two
‎𞲳 Indic Siyaq Number Alternate Ten Thousand
‎𞲴 Indic Siyaq Alternate Lakh Mark
