𐦕 Meroitic Hieroglyphic Letter Se
𐦀 Meroitic Hieroglyphic Letter A
𐦖 Meroitic Hieroglyphic Letter Ka
𐦁 Meroitic Hieroglyphic Letter E
𐦗 Meroitic Hieroglyphic Letter Qa
𐦂 Meroitic Hieroglyphic Letter I
𐦘 Meroitic Hieroglyphic Letter Ta
𐦃 Meroitic Hieroglyphic Letter O
𐦙 Meroitic Hieroglyphic Letter Ta-2
𐦄 Meroitic Hieroglyphic Letter Ya
𐦚 Meroitic Hieroglyphic Letter Te
𐦅 Meroitic Hieroglyphic Letter Wa
𐦛 Meroitic Hieroglyphic Letter Te-2
𐦆 Meroitic Hieroglyphic Letter Ba
𐦜 Meroitic Hieroglyphic Letter To
𐦇 Meroitic Hieroglyphic Letter Ba-2
𐦝 Meroitic Hieroglyphic Letter Da
𐦈 Meroitic Hieroglyphic Letter Pa
𐦞 Meroitic Hieroglyphic Symbol Vidj
𐦉 Meroitic Hieroglyphic Letter Ma
𐦟 Meroitic Hieroglyphic Symbol Vidj-2
𐦊 Meroitic Hieroglyphic Letter Na
𐦋 Meroitic Hieroglyphic Letter Na-2
𐦌 Meroitic Hieroglyphic Letter Ne
𐦍 Meroitic Hieroglyphic Letter Ne-2
𐦎 Meroitic Hieroglyphic Letter Ra
𐦏 Meroitic Hieroglyphic Letter Ra-2
𐦐 Meroitic Hieroglyphic Letter La
𐦑 Meroitic Hieroglyphic Letter Kha
𐦒 Meroitic Hieroglyphic Letter Hha
𐦓 Meroitic Hieroglyphic Letter Sa
𐦔 Meroitic Hieroglyphic Letter Sa-2
