‎𞴁 Ottoman Siyaq Number One
‎𞴂 Ottoman Siyaq Number Two
‎𞴃 Ottoman Siyaq Number Three
‎𞴄 Ottoman Siyaq Number Four
‎𞴅 Ottoman Siyaq Number Five
‎𞴆 Ottoman Siyaq Number Six
‎𞴇 Ottoman Siyaq Number Seven
‎𞴈 Ottoman Siyaq Number Eight
‎𞴉 Ottoman Siyaq Number Nine
‎𞴊 Ottoman Siyaq Number Ten
‎𞴋 Ottoman Siyaq Number Twenty
‎𞴌 Ottoman Siyaq Number Thirty
‎𞴍 Ottoman Siyaq Number Forty
‎𞴎 Ottoman Siyaq Number Fifty
‎𞴏 Ottoman Siyaq Number Sixty
‎𞴐 Ottoman Siyaq Number Seventy
‎𞴑 Ottoman Siyaq Number Eighty
‎𞴒 Ottoman Siyaq Number Ninety
‎𞴓 Ottoman Siyaq Number One Hundred
‎𞴔 Ottoman Siyaq Number Two Hundred
‎𞴕 Ottoman Siyaq Number Three Hundred
‎𞴖 Ottoman Siyaq Number Four Hundred
‎𞴗 Ottoman Siyaq Number Five Hundred
‎𞴘 Ottoman Siyaq Number Six Hundred
‎𞴙 Ottoman Siyaq Number Seven Hundred
‎𞴚 Ottoman Siyaq Number Eight Hundred
‎𞴛 Ottoman Siyaq Number Nine Hundred
‎𞴜 Ottoman Siyaq Number One Thousand
‎𞴝 Ottoman Siyaq Number Two Thousand
‎𞴞 Ottoman Siyaq Number Three Thousand
‎𞴟 Ottoman Siyaq Number Four Thousand
‎𞴠 Ottoman Siyaq Number Five Thousand
‎𞴡 Ottoman Siyaq Number Six Thousand
‎𞴢 Ottoman Siyaq Number Seven Thousand
‎𞴣 Ottoman Siyaq Number Eight Thousand
‎𞴤 Ottoman Siyaq Number Nine Thousand
‎𞴥 Ottoman Siyaq Number Ten Thousand
‎𞴦 Ottoman Siyaq Number Twenty Thousand
‎𞴧 Ottoman Siyaq Number Thirty Thousand
‎𞴨 Ottoman Siyaq Number Forty Thousand
‎𞴩 Ottoman Siyaq Number Fifty Thousand
‎𞴪 Ottoman Siyaq Number Sixty Thousand
‎𞴫 Ottoman Siyaq Number Seventy Thousand
‎𞴬 Ottoman Siyaq Number Eighty Thousand
‎𞴭 Ottoman Siyaq Number Ninety Thousand
‎𞴮 Ottoman Siyaq Marratan
‎𞴯 Ottoman Siyaq Alternate Number Two
‎𞴰 Ottoman Siyaq Alternate Number Three
‎𞴱 Ottoman Siyaq Alternate Number Four
‎𞴲 Ottoman Siyaq Alternate Number Five
‎𞴳 Ottoman Siyaq Alternate Number Six
‎𞴴 Ottoman Siyaq Alternate Number Seven
‎𞴵 Ottoman Siyaq Alternate Number Eight
‎𞴶 Ottoman Siyaq Alternate Number Nine
‎𞴷 Ottoman Siyaq Alternate Number Ten
‎𞴸 Ottoman Siyaq Alternate Number Four Hundred
‎𞴹 Ottoman Siyaq Alternate Number Six Hundred
‎𞴺 Ottoman Siyaq Alternate Number Two Thousand
‎𞴻 Ottoman Siyaq Alternate Number Ten Thousand
‎𞴼 Ottoman Siyaq Fraction One Half
‎𞴽 Ottoman Siyaq Fraction One Sixth
